pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
FF,96.7,2467,0.3286,2.4593,S,0,1,NA
FF,97.1,2523,0.0689,3.1506,S,0,0,NA
FF,97.4,2365,0.9227,1.9395,B,3,2,walk
FF,98.1,2378,-1.1953,2.6923,B,2,2,NA
FF,96.8,2551,0.0386,2.5114,S,2,1,NA
FF,96.3,2508,0.954,4.1278,B,1,1,NA
FF,96.7,2516,-0.8711,2.4696,S,1,0,NA
FF,96.9,2436,0.8851,2.2005,B,0,0,NA
SL,92.7,2481,-0.2418,2.4281,X,3,2,field_out
FF,97.3,2446,0.2816,3.1024,S,3,2,NA
CH,90.2,1728,0.0907,1.0268,B,2,2,NA
FF,96.6,2519,0.0612,4.0158,B,1,2,NA
SL,91.5,2520,0.9325,2.2105,S,1,2,NA
FF,96.5,2530,0.7348,4.7249,B,0,2,NA
FF,97.4,2508,-0.2912,3.3943,S,0,1,NA
FF,96.6,2485,0.4894,3.0977,S,0,0,NA
SL,91.3,2536,1.523,1.4294,S,2,2,strikeout
FF,97.5,2473,0.9116,2.1223,S,2,2,NA
SL,91.1,2603,2.2418,1.8199,B,1,2,NA
FF,97,2390,0.1392,3.5433,S,1,2,NA
FF,96.7,2480,0.7962,3.9795,B,0,2,NA
SL,91,2528,0.6867,1.8599,S,0,1,NA
FF,95.8,2422,0.6138,3.2512,S,0,0,NA
FF,97.3,2496,0.7753,2.0584,X,3,2,field_error
FF,96.5,2520,1.3535,2.4195,S,3,2,NA
CU,82.8,2639,0.5831,2.9284,S,3,2,NA
CH,89,1568,0.4774,2.2971,S,3,2,NA
SL,90.7,2452,0.6581,2.799,S,3,2,NA
FF,97.3,2425,0.8427,3.0335,S,3,2,NA
FF,96.8,2517,0.5275,2.9166,S,3,2,NA
SL,91.2,2549,0.7094,2.5375,S,3,1,NA
FF,95.5,2343,1.1098,1.876,S,3,0,NA
FF,96,2424,1.0866,2.7857,B,2,0,NA
CH,90.1,1857,1.6992,0.3971,B,1,0,NA
FF,95.9,2396,0.4245,4.1679,B,0,0,NA
CH,90.4,1824,-0.6943,2.543,S,2,2,strikeout
FF,96.1,2179,0.8044,2.1217,S,2,2,NA
SL,92.8,2463,-1.2891,1.8759,B,1,2,NA
FF,96.8,2443,1.447,2.3419,S,1,2,NA
SL,91.3,2571,1.5149,2.6963,S,1,1,NA
FT,94.9,2243,0.3748,1.0153,B,0,1,NA
CU,80.8,2472,-0.5064,2.1276,S,0,0,NA
FF,97.1,2418,0.6213,3.1617,S,0,2,strikeout
FF,96.6,2369,-0.135,2.4412,S,0,1,NA
FF,95.5,2321,-0.0746,3.2471,S,0,0,NA
CH,90.3,1646,-0.6276,2.4849,X,2,2,field_error
SL,92,2515,2.8636,0.477,B,1,2,NA
FF,98,2484,0.3162,3.3631,S,1,2,NA
SL,92.6,2611,1.5524,0.716,S,1,1,NA
FF,97.6,2436,1.5197,2.0422,B,0,1,NA
FF,97.9,2401,0.8826,1.8472,S,0,0,NA
CH,89.5,1823,-0.3644,2.2903,X,0,0,field_out
FF,97.4,2449,-0.428,3.1677,S,2,2,strikeout
FF,97.8,2299,-0.1682,3.0818,S,2,2,NA
SL,91.2,2646,0.9601,3.1316,S,2,2,NA
FF,97.5,2486,0.423,3.5896,S,2,2,NA
